source_id,name,kind,cost_tier,address,locality,ward,lat,lng,phone,alt_phone,ambulance,is_24x7,hours,handles_wildlife,confirmed_on,notes,is_person,is_government,reg_no,wards
karuna-parivar-trust,Karuna Parivar Trust,ngo,,"55, Ground Floor, Jaykar Smruti Building, Opposite Rajasthan Hall, Aarey Road, Goregaon West, Mumbai - 400062",Goregaon West,P/S,,,9833625427,9920299533,yes,yes,Open 24 HRS (directory-stated),no,,"Checked against https://www.myfurries.com/help-an-animal/mumbai, confidence medium",no,no,,
people-for-animals-mumbai,"People For Animals, Mumbai (PFA Mumbai)",ngo,,"III Floor, Thomas Cook Building, D.N. Road, Mumbai 400001",Fort,A,,,9930143495,8484822211,no,no,,no,,Checked against https://www.peopleforanimalsindia.org/units/details/58.html,no,no,,
plants-and-animal-lovers-society-pals,Plant and Animal Lovers Society (PALS),ngo,,"2, Ferena Building, Ground Floor, Flat No 2, Opposite Fariyas Hotel, Colaba, Mumbai - 400005",Colaba,A,,,9833293922,,no,no,Opens 1:30 PM (directory-stated; closing time not listed),no,,"Checked against https://www.myfurries.com/help-an-animal/mumbai, confidence medium",no,no,,
plants-and-animals-welfare-society-paws-bhandup,Plant and Animals Welfare Society (PAWS),ngo,,"No. 2, Shiv Shakti, Patkar Compound, Gamdevi Road, Bhandup West, Mumbai 400078 (myfurries adds: Behind Five Pooja Medical)",Bhandup West,S,,,9833480388,9892179542,no,no,,no,,"Checked against https://vhd.mcgm.gov.in/storage/uploads/admin/extras/circulars/List AWBI registered Animal Welfare Organization in Brihanmumbai Municipal corporation jurisdiction.pdf, confidence medium",no,no,,
roaming-paws-foundation,Roaming PAWS Foundation,ngo,,"Plot No. 10, 11 Chaya Kiran RSC 10, Near Hanuman Mandir, Kandivali West, Mumbai 400067",Kandivali West,R/S,,,9175113013,,no,no,,no,,"Checked against https://vhd.mcgm.gov.in/storage/uploads/admin/extras/circulars/List AWBI registered Animal Welfare Organization in Brihanmumbai Municipal corporation jurisdiction.pdf, confidence medium",no,no,,
srlc-shrimad-rajchandra-animal-helpline,Shrimad Rajchandra Animal Helpline (SRLC - Shrimad Rajchandra Love and Care),ngo,,"Patel Chambers, 3rd Floor, Plot No. 13, Shrimad Rajchandraji Marg, Opera House, Mumbai - 400004",Opera House (Kalbadevi),C,,,9822921100,7030159900,yes,no,09:00-19:00 daily (page states 'Timing: 9:00 a.m. to 7:00 p.m.'),no,,Checked against https://loveandcare.srmd.org/shrimad-rajchandra-animal-helpline/,no,no,,
tinte-foundation-malad-madh-shelter,"Tinte Foundation, Malad Madh Animal Care Center (Vatsalya)",ngo,subsidised,"Plot No. C2, Block Sector - Madh Island, Kalimata Mandir Road, Madh Killeshwar Road, Malad West, Mumbai 400061","Madh Island, Malad West",P/N,,,8779362065,9769720269,no,no,Monday-Friday 09:00-17:00; Saturday-Sunday closed,no,,Checked against https://tintefoundation.com/our_centers.php,no,no,,
universal-animal-welfare-society,Universal Animal Welfare Society,ngo,,"Chikku Wadi Rd, Chikuwadi, Malad West, Mumbai, Maharashtra 400095",Malad West,P/N,,,+91 9673163655,+91 9673195559,no,no,10:00 AM - 5:00 PM,no,,"Checked against https://universalanimalwelfare.org, confidence medium",no,no,,
utkarsh-global-foundation,Utkarsh Global Foundation,ngo,free,"CTS No. 298/6, Behind Asian Paints, Sonapur Lane, off L.B.S Marg, Bhandup (W), Mumbai - 400078",Bhandup West,S,,,+91 8976925958,+91 8655969555,yes,no,,no,,Checked against https://www.utkarshglobalfoundation.org/animal-welfare-movement,no,no,,
welfare-of-stray-dogs,The Welfare of Stray Dogs (WSD),ngo,free,"Free OPD clinic at WSD, Sewri, Mumbai (postal: 2nd Floor, Yeshwant Chambers, B Bharucha Marg, Kala Ghoda, Mumbai 400033)",Sewri,F/S,,,+91 89760 22838,,no,no,"Helpline: Mon-Sat, 9am - 5pm",no,,Checked against https://www.wsdindia.org,no,no,,
work-for-care-animal-foundation,Work For Care Animal Foundation (WFCAF),ngo,free,"Building No-1, Shop No-4, Champhzanti CHS, PL Lokhande Marg, Near Narayan Guru College, Chembur West, Mumbai, Maharashtra, India",Chembur West,M/W,,,+91 9768411930,,no,no,Mon–Sat: 9am–6pm,no,,Checked against https://wfcanimalfoundation.com,no,no,,
world-for-all-animal-care-and-adoption,World For All Animal Care & Adoptions (WFA),ngo,,"C/O World For All, 1st Floor, Rajendra Nivas, Opposite Takshila Police Chokie, Near To Ginger Hotel, Mahakali Caves Road, Andheri (E), Mumbai 400093",Andheri East,K/E,,,9820001506,9820191321,yes,no,,no,,Checked against https://worldforall.co/contact.php,no,no,,
yoda-youth-organization-in-defence-of-animals,YODA (Youth Organization in Defence of Animals),ngo,free,"1st Floor, Farhat Villa, Swami Vivekananda Rd, above House Beautiful, Khar West, Mumbai, Maharashtra 400052",Khar West,H/W,,,+91 8062689333,8899997704,no,no,Free OPD runs six days a week (exact times not stated on site),no,,Checked against https://yoda.co.in,no,no,,
maa-mumbai-animal-association,Mumbai Animal Association (MAA) / Central Bird and Animal Helpline (BHL),ngo,,,Kandivali / Borivali / Dahisar (service area),,,,8655370005,,yes,no,10:00 am - 7:00 pm,yes,,Checked against https://maa-india.org/,no,no,,R/S; R/C; R/N
